time,zeroDetector.i,zeroDetector.z,zeroDetector.der(i),simpleMath.x,simpleMath.y,simpleMath.der(x)
0.0,0.0,1.0,0.0,1.0,0.8414709848078965,1.0
1.0,1.2859407532478362,1.0,0.0,2.0,1.2859407532478362,1.0
2.0,0.24442702392421947,1.0,0.0,3.0,0.24442702392421947,1.0
3.0,-1.5136049906158564,1.0,0.0,4.0,-1.5136049906158564,1.0
4.0,-2.144219863421457,0.0,0.0,5.0,-2.144219863421457,1.0
5.0,-0.6844253968129204,0.0,0.0,6.0,-0.6844253968129204,1.0
6.0,1.7382231549121023,0.0,0.0,7.0,1.7382231549121023,1.0
7.0,2.798327700840904,1.0,0.0,8.0,2.798327700840904,1.0
8.0,1.2363554557252698,1.0,0.0,9.0,1.2363554557252698,1.0
9.0,-1.7203458056254388,1.0,0.0,10.0,-1.7203458056254388,1.0
10.0,-3.31659230915868,0.0,0.0,11.0,-3.31659230915868,1.0
11.0,-1.8587431118844846,0.0,0.0,12.0,-1.8587431118844846,1.0
12.0,1.51493379553822,0.0,0.0,13.0,1.51493379553822,1.0
13.0,3.706513329828313,1.0,0.0,14.0,3.706513329828313,1.0
14.0,2.5185539751697044,1.0,0.0,15.0,2.5185539751697044,1.0
15.0,-1.1516132666602612,1.0,0.0,16.0,-1.1516132666602612,1.0
16.0,-3.9639434072233097,0.0,0.0,17.0,-3.9639434072233097,1.0
17.0,-3.1861690486612035,0.0,0.0,18.0,-3.1861690486612035,1.0
18.0,0.653299610860667,0.0,0.0,19.0,0.653299610860667,1.0
19.0,4.0828152807251294,1.0,0.0,20.0,4.0828152807251294,1.0
20.0,3.834037794203089,1.0,0.0,21.0,3.834037794203089,1.0
21.0,-0.04151632059078188,1.0,0.0,22.0,-0.04151632059078188,1.0
